Power_Plant _Name,Company,Street Name,Postcode,City,Country,Capacity,Energy_source,Technology,CHP,Commissioned Year,Type,Latitude,Longitude,Energy_source_level_1,Energy_source_level_2,source
Edf Luminus Seraing Gt2,Luminus,Street data not available,Postcode not available,City data not available,Belgium,150,Natural gas,Gas turbine,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Ham31,Luminus,Street data not available,Postcode not available,City data not available,Belgium,58,Natural gas,Gas turbine,No,,Standard Utility,51.05942,3.73646,Fossil fuels,Natural gas,www.elia.be
Ham32,Luminus,Street data not available,Postcode not available,City data not available,Belgium,58,Natural gas,Gas turbine,No,,Standard Utility,51.05942,3.73646,Fossil fuels,Natural gas,www.elia.be
Hu Ampsin-Neuville,Luminus,Street data not available,Postcode not available,City data not available,Belgium,9.9,Hydro,Other ,No,,Standard Utility,50.53381,5.29636,Renewable energy,Hydro,www.elia.be
Hu Andenne,Luminus,Street data not available,Postcode not available,City data not available,Belgium,9,Hydro,Other ,No,,Standard Utility,50.49179,5.06975,Renewable energy,Hydro,www.elia.be
Hu Floriffoux,Luminus,Street data not available,Postcode not available,City data not available,Belgium,0.8,Hydro,Other ,No,,Standard Utility,50.44663,4.77389,Renewable energy,Hydro,www.elia.be
Hu Grand-Malades,Luminus,Street data not available,Postcode not available,City data not available,Belgium,5,Hydro,Other ,No,,Standard Utility,50.46595,4.89928,Renewable energy,Hydro,www.elia.be
Hu Ivoz-Ramet,Luminus,Street data not available,Postcode not available,City data not available,Belgium,10,Hydro,Other ,No,,Standard Utility,50.59349,5.46137,Renewable energy,Hydro,www.elia.be
Hu Lixhe,Luminus,Street data not available,Postcode not available,City data not available,Belgium,20,Hydro,Other ,No,,Standard Utility,50.75178,5.6878,Renewable energy,Hydro,www.elia.be
Hu Monsin,Luminus,Street data not available,Postcode not available,City data not available,Belgium,19.7,Hydro,Other ,No,,Standard Utility,50.65317,5.63137,Renewable energy,Hydro,www.elia.be
Jemeppe-Sur-Sambre Gt1,Luminus,Street data not available,Postcode not available,City data not available,Belgium,48,Natural gas,Gas turbine,No,,Standard Utility,50.44746,4.66339,Fossil fuels,Natural gas,www.elia.be
Jemeppe-Sur-Sambre Gt2,Luminus,Street data not available,Postcode not available,City data not available,Belgium,48,Natural gas,Gas turbine,No,,Standard Utility,50.44746,4.66339,Fossil fuels,Natural gas,www.elia.be
Jemeppe-Sur-Sambre St,Luminus,Street data not available,Postcode not available,City data not available,Belgium,10,Natural gas,Steam turbine,No,,Standard Utility,50.44746,4.66339,Fossil fuels,Natural gas,www.elia.be
Ringvaart Steg,Luminus,Street data not available,Postcode not available,City data not available,Belgium,385,Natural gas,Combined cycle,No,,Standard Utility,51.10496,3.72567,Fossil fuels,Natural gas,www.elia.be
Seraing Tv,Luminus,Street data not available,Postcode not available,City data not available,Belgium,170,Natural gas,Other ,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Biostoom Oostende,Rwe Supply & Trading,Street data not available,Postcode not available,City data not available,Belgium,19.4,Non-renewable waste,Combined cycle,No,,Standard Utility,,,Fossil fuels,Non-renewable waste,www.elia.be
Inesco Wkk,Rwe Supply & Trading,Street data not available,Postcode not available,City data not available,Belgium,138,Natural gas,Combined cycle,Yes,,CHP/IPP,51.24256,4.32481,Fossil fuels,Natural gas,www.elia.be
T-Power Beringen,T-Power,Street data not available,Postcode not available,City data not available,Belgium,422,Natural gas,Combined cycle,No,,Standard Utility,,,Fossil fuels,Natural gas,www.elia.be
Al-1,Nuon,Marketkant 12-10,1341AK,Almere,Netherlands,62,Natural gas,Other ,No,,Standard Utility,52.38811,5.2154,Fossil fuels,Natural gas,www.tennet.org
Al-2,Nuon,Markerkant 12-10,1341AK,Almere,Netherlands,55,Natural gas,Other ,No,,Standard Utility,52.38811,5.2154,Fossil fuels,Natural gas,www.tennet.org
Amercentrale (A8),Essent Energy Trading B.V.,Amerweg .,4931NC,Geertruidenberg,Netherlands,645,Hard coal,Steam turbine,No,,Standard Utility,51.70838,4.84381,Fossil fuels,Hard coal,www.tennet.org
Amercentrale (A9),Essent Energy Trading B.V.,Amerweg .,4931NC,Geertruidenberg,Netherlands,640,Hard coal,Steam turbine,No,,Standard Utility,51.70838,4.84381,Fossil fuels,Hard coal,www.tennet.org
Amylum,Amylum Nederland B.V.,Lagedijk 5,1541KA,Koog aan de Zaan,Netherlands,7,Natural gas,Other ,No,,Standard Utility,52.46552,4.81361,Fossil fuels,Natural gas,www.tennet.org
Boz,Essent Energy Trading B.V.,Moervaart 1,4622RR,Bergen op Zoom,Netherlands,33,Natural gas,Other ,No,,Standard Utility,51.50555,4.33998,Fossil fuels,Natural gas,www.tennet.org
Borssele 30,Delta Energy B.V.,Zeedijk 32,4454PM,Borssele,Netherlands,492,Nuclear,Steam turbine,No,,Standard Utility,51.43148,3.71871,Nuclear,Nuclear/Other,www.tennet.org
Cuijk,Essent Energy Trading B.V.,Lange Ooijen 31,5433NG,Katwijk (NB),Netherlands,25,Hard coal,Steam turbine,No,,Standard Utility,51.75381,5.8528,Fossil fuels,Hard coal,www.tennet.org
Centrale Bergum (Cb10),Electrabel Nederland Nv,Koumarwei 2,9251ML,Bergum,Netherlands,72,Natural gas,Other ,No,,Standard Utility,53.20975,6.02959,Fossil fuels,Natural gas,www.tennet.org
Centrale Bergum (Cb20),Electrabel Nederland Nv,Koumarwei 2,9251ML,Bergum,Netherlands,72,Natural gas,Other ,No,,Standard Utility,53.20975,6.02959,Fossil fuels,Natural gas,www.tennet.org
Centrale Diemen (Dm33),Nuon,Overdiemerweg 35,1111PP,Diemen,Netherlands,249,Natural gas,Other ,No,,Standard Utility,52.33898,5.02134,Fossil fuels,Natural gas,www.tennet.org
Centrale Diemen (Dm34),Vattenfall Energy Trading,Overdiemerweg 35,1111PP,Diemen,Netherlands,435,Natural gas,Other ,No,,Standard Utility,52.33898,5.02134,Fossil fuels,Natural gas,www.tennet.org
Centrale Galileistraat (Fg1),Eon Benelux,Galileistraat 15,3029AL,Rotterdam,Netherlands,0,Natural gas,Other ,No,,Standard Utility,51.91025,4.42608,Fossil fuels,Natural gas,www.tennet.org
Centrale Gelderland (Cg13),Electrabel Nederland Nv,Weurtseweg 460,6541BE,Nijmegen,Netherlands,0,Hard coal,Steam turbine,No,,Standard Utility,51.85607,5.83043,Fossil fuels,Hard coal,www.tennet.org
Centrale Harculo (Hc60),Electrabel Nederland Nv,IJsselcentraleweg 6,8015PA,Zwolle,Netherlands,0,Natural gas,Other ,No,,Standard Utility,52.46907,6.10767,Fossil fuels,Natural gas,www.tennet.org
Centrale Hemweg (Hw-7),Nuon,Petroliumhavenweg 1,1041AB,Amsterdam,Netherlands,585,Natural gas,Other ,No,,Standard Utility,52.40537,4.84482,Fossil fuels,Natural gas,www.tennet.org
Centrale Hemweg (Hw-8),Nuon,Petroliumhavenweg 1,1041AB,Amsterdam,Netherlands,650,Hard coal,Steam turbine,No,,Standard Utility,52.40537,4.84482,Fossil fuels,Hard coal,www.tennet.org
Centrale Hemweg (Hw-9),Nuonenw,Nieuwe Hemweg 25,1041AA,Amsterdam,Netherlands,432,Natural gas,Other ,No,,Standard Utility,52.40537,4.84482,Fossil fuels,Natural gas,www.tennet.org
Centrale Ijmond,Nuon,Hoflaan 1,1951HJ,Velsen,Netherlands,144,Other or unspecified energy sources,Other ,No,,Standard Utility,52.47155,4.63473,Other or unspecified energy sources,Nuclear/Other,www.tennet.org
Centrale Lage Weide,Nuon,Atoomweg 7-9,3542AA,Utrecht,Netherlands,247,Natural gas,Other ,No,,Standard Utility,52.10292,5.07137,Fossil fuels,Natural gas,www.tennet.org
Centrale Maasvlakte (Mv1),Eon Benelux,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,Netherlands,0,Hard coal,Steam turbine,No,,Standard Utility,51.96262,4.02152,Fossil fuels,Hard coal,www.tennet.org
Centrale Maasvlakte (Mv2),Eon Benelux,Coloradoweg 10,3199LA,Rotterdam Maasvlakte,Netherlands,0,Hard coal,Steam turbine,No,,Standard Utility,51.96262,4.02152,Fossil fuels,Hard coal,www.tennet.org
Centrale Maasvlakte (Mv3),Eon Benelux,Europaweg 911,3199LD,Maasvlakte Rotterdam,Netherlands,1068,Hard coal,Steam turbine,No,,Standard Utility,51.96262,4.02152,Fossil fuels,Hard coal,www.tennet.org
Centrale Merwedekanaal,Nuon,Keulsekade 181,3534AC,Utrecht,Netherlands,227,Natural gas,Other ,No,,Standard Utility,52.10156,5.07981,Fossil fuels,Natural gas,www.tennet.org
Centrale Roca (Roca3),Eon Benelux,Capelseweg 400,3068AX,Rotterdam,Netherlands,218,Natural gas,Other ,No,,Standard Utility,51.95366,4.56155,Fossil fuels,Natural gas,www.tennet.org
Centrale Swentibold,Essent Energy Trading B.V.,Kampstraat 101,6163HE,Geleen,Netherlands,225,Natural gas,Other ,No,,Standard Utility,50.97971,5.80891,Fossil fuels,Natural gas,www.tennet.org
Centrale Velsen (Vn24),Nuon,Hoflaan 1,1951HJ,Velsen,Netherlands,459,Natural gas,Other ,No,,Standard Utility,52.47155,4.63473,Fossil fuels,Natural gas,www.tennet.org
Centrale Velsen (Vn25),Nuon,Hoflaan 1,1951HJ,Velsen,Netherlands,375,Natural gas,Other ,No,,Standard Utility,52.47155,4.63473,Fossil fuels,Natural gas,www.tennet.org
Clauscentrale (A),Essent Energy Trading B.V.,Voortstraat 19,6051JP,Maasbracht,Netherlands,640,Natural gas,Other ,No,,Standard Utility,51.15409,5.90803,Fossil fuels,Natural gas,www.tennet.org
Clauscentrale (C1),Essent Energy Trading B.V.,Voortstraat 19,6051JP,Maasbracht,Netherlands,310,Natural gas,Other ,No,,Standard Utility,51.15409,5.90803,Fossil fuels,Natural gas,www.tennet.org
Clauscentrale (C2),Essent Energy Trading B.V.,Voortstraat 19,6051JP,Maasbracht,Netherlands,310,Natural gas,Other ,No,,Standard Utility,51.15409,5.90803,Fossil fuels,Natural gas,www.tennet.org
Clauscentrale (C3),Essent Energy Trading B.V.,Voortstraat 19,6051JP,Maasbracht,Netherlands,310,Natural gas,Other ,No,,Standard Utility,51.15409,5.90803,Fossil fuels,Natural gas,www.tennet.org
Clauscentrale (C4),Essent Energy Trading B.V.,Voortstraat 19,6051JP,Maasbracht,Netherlands,510,Other or unspecified energy sources,Other ,No,,Standard Utility,51.15409,5.90803,Other or unspecified energy sources,Nuclear/Other,www.tennet.org
Delesto (Del1),Essent Energy Trading B.V.,Oosterhorn 4,9936HD,Farmsum,Netherlands,180,Natural gas,Other ,No,,Standard Utility,53.31953,6.94811,Fossil fuels,Natural gas,www.tennet.org
Delesto (Del2),Essent Energy Trading B.V.,Oosterhorn 4,9936HD,Farmsum,Netherlands,350,Natural gas,Other ,No,,Standard Utility,53.31953,6.94811,Fossil fuels,Natural gas,www.tennet.org
Dongecentrale,Essent Energy Trading B.V.,Centraleweg 12,4931NB,Geertruidenberg,Netherlands,0,Natural gas,Other ,No,,Standard Utility,51.695,4.84652,Fossil fuels,Natural gas,www.tennet.org
Edh,Eon Benelux,De Constant Rebecqueplein 20,2518RA,Den Haag,Netherlands,112,Natural gas,Other ,No,,Standard Utility,52.07659,4.29065,Fossil fuels,Natural gas,www.tennet.org
Ehv,Essent Energy Trading B.V.,Beukenlaan 2A,5651CD,Eindhoven,Netherlands,0,Natural gas,Other ,No,,Standard Utility,51.44944,5.45296,Fossil fuels,Natural gas,www.tennet.org
Elsta,Delta Energy B.V.,Herbert H. Dowweg 5D,4542NM,Hoek,Netherlands,456,Natural gas,Other ,No,,Standard Utility,51.33319,3.78947,Fossil fuels,Natural gas,www.tennet.org
Ensch,Essent Energy Trading B.V.,Marssteden 35,7547TE,Enschede,Netherlands,0,Natural gas,Other ,No,,Standard Utility,52.21397,6.82872,Fossil fuels,Natural gas,www.tennet.org
Erica,Essent Energy Trading B.V.,Beekweg 12,7887TN,Erica,Netherlands,63,Natural gas,Other ,No,,Standard Utility,52.69632,6.91411,Fossil fuels,Natural gas,www.tennet.org
Eemscentrale (Ec20),Electrabel Nederland Nv,Robbenplaatweg 17,9979XL,Eemshaven,Netherlands,131,Natural gas,Other ,No,,Standard Utility,53.43949,6.86165,Fossil fuels,Natural gas,www.tennet.org
Eemscentrale (Ec3),Electrabel Nederland Nv,Robbenplaatweg 17,9979XL,Eemshaven,Netherlands,359,Natural gas,Other ,No,,Standard Utility,53.43949,6.86165,Fossil fuels,Natural gas,www.tennet.org
Eemscentrale (Ec4),Electrabel Nederland Nv,Robbenplaatweg 17,9979XL,Eemshaven,Netherlands,359,Natural gas,Other ,No,,Standard Utility,53.43949,6.86165,Fossil fuels,Natural gas,www.tennet.org
Eemscentrale (Ec5),Electrabel Nederland Nv,Robbenplaatweg 17,9979XL,Eemshaven,Netherlands,361,Natural gas,Other ,No,,Standard Utility,53.43949,6.86165,Fossil fuels,Natural gas,www.tennet.org
Eemscentrale (Ec6),Electrabel Nederland Nv,Robbenplaatweg 17,9979XL,Eemshaven,Netherlands,359,Natural gas,Other ,No,,Standard Utility,53.43949,6.86165,Fossil fuels,Natural gas,www.tennet.org
Eemscentrale (Ec7),Electrabel Nederland Nv,Robbenplaatweg 17,9979XL,Eemshaven,Netherlands,360,Natural gas,Other ,No,,Standard Utility,53.43949,6.86165,Fossil fuels,Natural gas,www.tennet.org
Hm12,Essent Energy Trading B.V.,Achterdijk 42,5705CB,Helmond,Netherlands,0,Natural gas,Other ,No,,Standard Utility,51.46341,5.68837,Fossil fuels,Natural gas,www.tennet.org
Htb,Essent Energy Trading B.V.,Zandzuigerstraat 8A,5222AH,'s Hertogenbosch,Netherlands,32,Natural gas,Other ,No,,Standard Utility,51.70164,5.28009,Fossil fuels,Natural gas,www.tennet.org
